priority,agency,city,fit_score,public_email,public_instagram,website,channel,status,next_action,personalization_hook
Alta,Agencia Amorah,Salvador BA,9,contato@agenciaamorah.com,@agenciaamorah,https://www.agenciaamorah.com.br/,Email/Instagram,Nao contatado,Validar Instagram e enviar mensagem personalizada,"Diagnostico gratuito + Instagram/Facebook/Google Ads em Salvador"
Alta,Agencia Seu Case,Salvador BA,8,contato@agenciaseucase.com,,https://www.agenciaseucase.com/,Email,Nao contatado,Validar site e enviar primeiro contato,"Marketing vendas atendimento trafego pago e redes sociais"
Alta,Elevix,Sao Paulo SP,9,contato@elevix.com.br,@elevix_mkt,https://elevix.com.br/,Email/Instagram,Nao contatado,Enviar mensagem personalizada,"Gestao de redes + trafego pago + automacao com IA"
Alta,Agencia Infinito,Sao Paulo SP,8,contato@infinitoagencia.com.br,@agenciainfinitooficial,https://infinitoagencia.com.br/,Email/Instagram,Nao contatado,Enviar mensagem personalizada,"Agencia 360 com digital eventos audiovisual e campanhas"
Alta,AEW Digital,Sao Paulo SP,8,contato@aewdigital.com.br,@aewdigital,https://aewdigital.com.br/contato/,Email/Instagram,Nao contatado,Enviar primeiro contato,"Marketing digital com Instagram publico no contato"
Alta,Agencia Ape,Curitiba PR,8,contato@agenciaape.com.br,,https://www.agenciaape.com.br/contato/,Email,Nao contatado,Validar handle Instagram,"Marketing de conteudo e automacao com IA"
Alta,Agencia Lumina,Porto Alegre RS,8,contato@agencialumina.com.br,,https://www.agencialumina.com.br/fale-conosco,Email,Nao contatado,Enviar mensagem personalizada,"Social media growth IA e automacao"
Media/Alta,Navy Digital Media,Belo Horizonte MG,8,,@navydigitalmedia,https://navydigitalmedia.com/,Instagram/Formulario,Nao contatado,Buscar email no site antes de DM,"Gestao de redes e relatorios de crescimento do Instagram"
Media/Alta,AFO Agencia,Curitiba PR,7,,,https://afoagencia.com.br/,Formulario/Instagram,Nao contatado,Buscar contato direto,"Social media com estrategia e relatorios semanais"
Media/Alta,Agencia I am,Sao Paulo SP,7,contato@agenciaiam.com.br,,https://www.agenciaiam.com.br/fale-conosco/,Email,Nao contatado,Enviar primeiro contato,"Performance social media SEO inbound e desenvolvimento"
Media,M2U Digital,Rio de Janeiro RJ,7,contato@m2udigital.com.br,,https://www.m2udigital.com.br/,Email,Nao contatado,Enviar primeiro contato,"Full service com anuncios Instagram e gestao de midias sociais"
Media,Loquaz Media,Porto Alegre RS,6,contato@loquazmedia.com.br,,https://loquazmedia.com.br/,Email,Nao contatado,Validar servico social antes de enviar,"Marketing digital e desenvolvimento web"
Media,Nitro Marketing Digital,Porto Alegre RS,6,contato@nitrodigital.com.br,,https://www.nitrodigital.com.br/,Email,Nao contatado,Validar servico social antes de enviar,"Agencia digital com marketing digital e e-mail marketing"
Media,ARISE Digital,Curitiba PR,7,contato@arisedigital.com.br,,https://arisedigital.com.br/contato/,Email,Nao contatado,Enviar primeiro contato,"Redes sociais Google Ads email marketing e design"
Media,Engenho Marketing Digital,Recife PE,6,,,"https://www.engenhodigital.com/",WhatsApp/Formulario,Nao contatado,Usar formulario com cuidado,"Marketing digital on/off em Recife"
Alta,Straique,Campinas SP,9,,+55 19 98199-5614,https://www.straique.com/,WhatsApp/Formulario,WhatsApp enviado 2026-06-04,Aguardar resposta antes de novo contato,"Instagram-first social media conteudo trafego pago e performance"
Alta,Eleve Midia,Campinas SP,9,contato@elevemidia.com.br,+55 19 3244-6388,https://elevemidia.com.br/,Email/WhatsApp,Email e WhatsApp enviados 2026-06-04,Aguardar resposta antes de follow-up,"Desde 2017 +400 clientes social media trafego pago videos"
Alta,EA Midia Digital,Campinas SP,8,contato@eamidiadigital.com.br,+55 19 99655-1961,https://eamidiadigital.com.br/,Email/Instagram/WhatsApp,Email e WhatsApp enviados 2026-06-04,Aguardar resposta antes de follow-up,"SEO branding performance gestao de redes sociais e consultoria digital"
Alta,Arnoldi Digital,Campinas SP,8,contato@arnoldi.com.br,+55 19 98186-7736,https://arnoldi.com.br/,Email/WhatsApp,Email e WhatsApp enviados 2026-06-04,Aguardar resposta antes de follow-up,"Gestao de redes sociais para Instagram Facebook LinkedIn e YouTube"
Alta,Pelicioni,Campinas SP,8,,,https://agenciapelicioni.com.br/,Formulario,Nao contatado,Usar formulario do site,"Gerenciamento de redes assessoria de imprensa media training e risco reputacional"
Media/Alta,Agenzzia Comunicacoes,Campinas SP,7,,,https://agenzzia.com.br/,Formulario/Telefone,Nao contatado,Buscar email antes de contato,"Gestao de redes sociais links patrocinados assessoria de imprensa"
Media/Alta,Tanda Interativa,Campinas SP,7,atendimento@tanda.com.br,+55 19 3305-5797,https://www.tanda.com.br/,Email/WhatsApp,Email enviado 2026-06-04; numero nao esta no WhatsApp,Buscar outro WhatsApp antes de novo contato,"Agencia digital tradicional com redes sociais e atendimento publico"
Alta,V2BMKT,Campinas SP e Sao Paulo SP,9,contato@v2bmkt.com.br,+55 11 92188-4828,https://www.v2bmkt.com.br/contato/,Email/WhatsApp,Email e WhatsApp enviados 2026-06-04,Aguardar resposta antes de follow-up,"Marketing 360 gestao de redes sociais e servicos de IA"
Alta,Attractive Agencia,Campinas SP,9,contato@attractiveagencia.com.br,+55 19 98235-3350,https://attractiveagencia.com.br/,Email/Telefone,Email e WhatsApp enviados 2026-06-04,Aguardar resposta antes de follow-up,"Monitoramento de midias midias e redes sociais relatorios e ferramentas inteligentes"
Media/Alta,Nicho Digital,Campinas SP,8,contato@nichodigital.com.br,+55 19 97159-5254,https://www.nichodigital.com.br/contato-agencia-de-marketing-digital/,Email/WhatsApp,Email e WhatsApp enviados 2026-06-04,Aguardar resposta antes de follow-up,"Agencia orientada a dados diagnostico gratis Inbound e portfolio"
Media,4Tune Agencia Digital,Campinas SP,7,contato@4tuneagencia.digital,+55 19 98963-3011,https://4tuneagencia.digital/,Email/WhatsApp,Email e WhatsApp enviados 2026-06-04; resposta indica contato errado,Marcar como contato ruim e nao insistir neste numero,"Gestao de redes sociais Facebook Instagram Ads automacao do Instagram"
